Name,Rank,Price,24h Change,Market Cap,Volume,Circ_Supply,Category
BTC,1.0,0.18514450000000002,1.68,1.75,45.67,19.83,"Cryptocurrencies, Layer 1"
ETH,2.0,0.18514450000000002,0.93,264.25,18.7,120.59,"Smart contract platforms, Layer 1"
XRP,3.0,0.18514450000000002,2.22,148.21,6.58,57.95,"Cryptocurrencies, Enterprise solutions, Layer 1, Made in America"
USDT,4.0,0.18514450000000002,0.0,142.7,85.18,142.72,"Stablecoins, Asset-backed Stablecoins"
BNB,5.0,0.18514450000000002,0.53,84.33,1.58,142.48,"Smart contract platforms, Centralized-exchange, Layer 1"
SOL,6.0,0.18514450000000002,1.33,72.6,4.16,508.12,"Smart contract platforms, Layer 1, Made in America"
USDC,7.0,0.18514450000000002,0.01,57.24,9.42,57.23,"Stablecoins, Asset-backed Stablecoins, Made in America"
ADA,8.0,0.18514450000000002,9.42,31.43,2.73,35.22,"Smart contract platforms, Layer 1, Made in America"
DOGE,9.0,0.18514450000000002,1.74,29.63,1.7,148.32,"Memes, Cryptocurrencies, Layer 1, Made in America"
TRX,10.0,0.18514450000000002,1.63,20.61,438.92500000000007,86.05,"Smart contract platforms, Payments, Layer 1"
PI,11.0,0.18514450000000002,4.44,12.74,438.92500000000007,7.05,—
LINK,12.0,0.18514450000000002,3.01,10.69,1.03,638.1,"Oracles, Data management & AI, Web3, Made in America"
HBAR,13.0,0.18514450000000002,3.97,9.9,430.16,41.92,"Smart contract platforms, Enterprise solutions, DeFi, Layer 1, Made in America"
XLM,14.0,0.18514450000000002,1.78,9.09,282.18,30.71,"Cryptocurrencies, Smart contract platforms, Layer 1, Made in America"
LEO,15.0,0.18514450000000002,0.08,9.02,2.78,734.485,"Centralized-exchange, Payments"
SUI,16.0,0.18514450000000002,7.07,8.82,1.69,3.17,"Smart contract platforms, Developments tools, Scaling, Layer 1, Made in America"
AVAX,17.0,0.18514450000000002,0.09,8.68,438.92500000000007,414.19,"Smart contract platforms, Layer 1, Made in America"
SHIB,18.0,0.011323,0.12,7.81,203.51,589.25,"Memes, Cryptocurrencies"
LTC,19.0,0.18514450000000002,1.11,7.76,438.92500000000007,75.56,"Cryptocurrencies, Layer 1, Made in America"
BCH,20.0,0.18514450000000002,0.04,7.75,438.92500000000007,19.84,"Cryptocurrencies, Layer 1, Made in America"
TON,21.0,0.18514450000000002,1.68,7.46,164.28,2.48,"Smart contract platforms, Layer 1"
OM,22.0,0.18514450000000002,1.23,6.81,155.77,734.485,"Lending & Borrowing, DeFi, DAO"
DOT,23.0,0.18514450000000002,2.15,6.79,181.07,1.56,"Smart contract platforms, Layer 1, Made in America"
BGB,24.0,0.18514450000000002,4.0,5.51,251.78,1.2,Centralized-exchange
USDE,25.0,0.18514450000000002,0.0,5.42,76.24,5.42,"Stablecoins, Asset-backed Stablecoins"
DAI,26.0,0.18514450000000002,0.0,5.37,115.9,5.37,"Stablecoins, Asset-backed Stablecoins, DeFi"
HYPE,27.0,0.18514450000000002,12.22,5.01,143.87,333.93,"Decentralized exchange, Derivatives, Layer 1"
UNI,28.0,0.18514450000000002,3.07,4.29,205.63,600.59,"Decentralized exchange, DeFi, DAO, Made in America"
XMR,29.0,0.18514450000000002,0.35,4.14,78.21,18.45,"Privacy, Cryptocurrencies, Layer 1"
NEAR,30.0,0.18514450000000002,4.98,3.67,239.99,1.19,"Smart contract platforms, Data management & AI, Interoperability, Layer 1, Made in America"
ONDO,31.0,0.18514450000000002,0.9,3.55,422.04,3.16,Made in America
APT,32.0,0.18514450000000002,1.57,3.5,329.06,589.82,"Smart contract platforms, Layer 1, Made in America"
AAVE,33.0,0.18514450000000002,2.41,3.19,438.92500000000007,15.09,"Lending & Borrowing, DeFi, DAO, Made in America"
ETC,34.0,0.18514450000000002,3.34,3.01,182.01,151.01,"Smart contract platforms, Layer 1"
ICP,35.0,0.18514450000000002,0.65,2.95,78.54,481.43,"Smart contract platforms, Data management & AI, DeFi, Layer 1"
PEPE,36.0,0.011323,3.28,2.87,438.92500000000007,420.69,Memes
TRUMP,37.0,0.18514450000000002,1.44,2.59,438.92500000000007,200.0,"Memes, Made in America"
OKB,38.0,0.18514450000000002,1.69,2.55,3.81,60.0,"Centralized-exchange, Layer 1"
MNT,39.0,0.18514450000000002,2.46,2.44,63.05,3.36,"Scaling, DeFi, DAO"
TAO,40.0,0.18514450000000002,5.84,2.41,131.0,8.45,"Distributed computing & Storage, Oracles, Data management & AI, DAO, DePIN"
VET,41.0,0.027554,4.69,2.37,46.31,85.99,"Smart contract platforms, Internet of things, Logistics, Layer 1"
CRO,42.0,0.087965,12.12,2.34,194.16,26.57,"Smart contract platforms, Centralized-exchange, Payments, Layer 1"
POL,43.0,0.18514450000000002,2.51,2.11,115.15,8.59,—
FDUSD,44.0,0.18514450000000002,0.0,2.1,7.79,2.1,Stablecoins
ALGO,45.0,0.18514450000000002,3.11,2.06,106.36,8.47,"Smart contract platforms, Layer 1, Made in America"
RENDER,46.0,0.18514450000000002,2.16,1.97,105.92,517.72,"Distributed computing & Storage, Data management & AI, NFTs & Collectibles, Scaling, Social, media & Content, Metaverse, Web3, DePIN, Made in America"
