Name,Rank,Price,24h Change,"""Market Cap""",Volume,Circ_Supply,Category
BTC,1,"88,066.64 USD",−1.68%,1.75 T USD,45.67 B USD,19.83 M,"Cryptocurrencies, Layer 1"
ETH,2,"2,191.22 USD",−0.93%,264.25 B USD,18.7 B USD,120.59 M,"Smart contract platforms, Layer 1"
XRP,3,2.5575 USD,+2.22%,148.21 B USD,6.58 B USD,57.95 B,"Cryptocurrencies, Enterprise solutions, Layer 1, Made in America"
USDT,4,0.99989 USD,−0.00%,142.7 B USD,85.18 B USD,142.72 B,"Stablecoins, Asset-backed Stablecoins"
BNB,5,591.90 USD,−0.53%,84.33 B USD,1.58 B USD,142.48 M,"Smart contract platforms, Centralized-exchange, Layer 1"
SOL,6,142.88 USD,−1.33%,72.6 B USD,4.16 B USD,508.12 M,"Smart contract platforms, Layer 1, Made in America"
USDC,7,1.00005 USD,+0.01%,57.24 B USD,9.42 B USD,57.23 B,"Stablecoins, Asset-backed Stablecoins, Made in America"
ADA,8,0.89215 USD,−9.42%,31.43 B USD,2.73 B USD,35.22 B,"Smart contract platforms, Layer 1, Made in America"
DOGE,9,0.19980 USD,−1.74%,29.63 B USD,1.7 B USD,148.32 B,"Memes, Cryptocurrencies, Layer 1, Made in America"
TRX,10,0.23950 USD,−1.63%,20.61 B USD,549.12 M USD,86.05 B,"Smart contract platforms, Payments, Layer 1"
PI,11,1.8077 USD,−4.44%,12.74 B USD,604.21 M USD,7.05 B,—
LINK,12,16.758 USD,+3.01%,10.69 B USD,1.03 B USD,638.1 M,"Oracles, Data management & AI, Web3, Made in America"
HBAR,13,0.23615 USD,−3.97%,9.9 B USD,430.16 M USD,41.92 B,"Smart contract platforms, Enterprise solutions, DeFi, Layer 1, Made in America"
XLM,14,0.29583 USD,−1.78%,9.09 B USD,282.18 M USD,30.71 B,"Cryptocurrencies, Smart contract platforms, Layer 1, Made in America"
LEO,15,9.7648 USD,+0.08%,9.02 B USD,2.78 M USD,924 M,"Centralized-exchange, Payments"
SUI,16,2.7812 USD,+7.07%,8.82 B USD,1.69 B USD,3.17 B,"Smart contract platforms, Developments tools, Scaling, Layer 1, Made in America"
AVAX,17,20.953 USD,−0.09%,8.68 B USD,577.78 M USD,414.19 M,"Smart contract platforms, Layer 1, Made in America"
SHIB,18,0.000013250 USD,+0.12%,7.81 B USD,203.51 M USD,589.25 T,"Memes, Cryptocurrencies"
LTC,19,102.65 USD,−1.11%,7.76 B USD,960.24 M USD,75.56 M,"Cryptocurrencies, Layer 1, Made in America"
BCH,20,390.56 USD,+0.04%,7.75 B USD,731.64 M USD,19.84 M,"Cryptocurrencies, Layer 1, Made in America"
TON,21,3.0113 USD,−1.68%,7.46 B USD,164.28 M USD,2.48 B,"Smart contract platforms, Layer 1"
OM,22,6.9835 USD,−1.23%,6.81 B USD,155.77 M USD,975.04 M,"Lending & Borrowing, DeFi, DAO"
DOT,23,4.3690 USD,−2.15%,6.79 B USD,181.07 M USD,1.56 B,"Smart contract platforms, Layer 1, Made in America"
BGB,24,4.5924 USD,+4.00%,5.51 B USD,251.78 M USD,1.2 B,Centralized-exchange
USDE,25,0.99941 USD,−0.00%,5.42 B USD,76.24 M USD,5.42 B,"Stablecoins, Asset-backed Stablecoins"
DAI,26,1.0000 USD,−0.00%,5.37 B USD,115.9 M USD,5.37 B,"Stablecoins, Asset-backed Stablecoins, DeFi"
HYPE,27,15.000 USD,−12.22%,5.01 B USD,143.87 M USD,333.93 M,"Decentralized exchange, Derivatives, Layer 1"
UNI,28,7.1355 USD,−3.07%,4.29 B USD,205.63 M USD,600.59 M,"Decentralized exchange, DeFi, DAO, Made in America"
XMR,29,224.64 USD,−0.35%,4.14 B USD,78.21 M USD,18.45 M,"Privacy, Cryptocurrencies, Layer 1"
NEAR,30,3.0842 USD,+4.98%,3.67 B USD,239.99 M USD,1.19 B,"Smart contract platforms, Data management & AI, Interoperability, Layer 1, Made in America"
ONDO,31,1.1240 USD,−0.90%,3.55 B USD,422.04 M USD,3.16 B,Made in America
APT,32,5.9387 USD,−1.57%,3.5 B USD,329.06 M USD,589.82 M,"Smart contract platforms, Layer 1, Made in America"
AAVE,33,211.23 USD,−2.41%,3.19 B USD,521.33 M USD,15.09 M,"Lending & Borrowing, DeFi, DAO, Made in America"
ETC,34,19.912 USD,−3.34%,3.01 B USD,182.01 M USD,151.01 M,"Smart contract platforms, Layer 1"
ICP,35,6.1322 USD,−0.65%,2.95 B USD,78.54 M USD,481.43 M,"Smart contract platforms, Data management & AI, DeFi, Layer 1"
PEPE,36,0.0000068200 USD,−3.28%,2.87 B USD,440.61 M USD,420.69 T,Memes
TRUMP,37,12.964 USD,−1.44%,2.59 B USD,931.19 M USD,200 M,"Memes, Made in America"
OKB,38,42.479 USD,−1.69%,2.55 B USD,3.81 M USD,60 M,"Centralized-exchange, Layer 1"
MNT,39,0.72416 USD,−2.46%,2.44 B USD,63.05 M USD,3.36 B,"Scaling, DeFi, DAO"
